ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
395,   Champagne Billecart Salmon   Champagne Brut sous Bois ," Champagne Billecart Salmon, Champagne BILLECART-SALMON : 40, rue Carnot, B.P. 8 - 51 160 MAREUIL-SUR-AŸ - FRANCE ", Frankreich , Champagne , Schaumwein weiß ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay, Schwarzriesling/Pinot Meunier "," Champagne AC, Premiumwein ", 12 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 ,, Naturkork ,,," Apéritif, Dessert, Fisch, Hummer ","Apéritif, Hummer, Fasan auf Champagnerkraut, Edelfisch in Beurre Blanc, fruchtige Desserts", ohne ," Barriquefaß, traditionelle Flaschengärung ","Méthode Traditionelle, handgerüttelt",,,"Premièr & Grand Cru Lagen, Marnetal",,,,Kalk und Kreide,,1,
396,   Champagne Pol Roger   2013 Champagne Brut Vintage Blanc ," Champagne Pol Roger, Champagne Pol Roger, 1, Rue Winston Churchill 51200 Epernay France ", Frankreich , Champagne , Schaumwein weiß ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay ", Champagne , 12.5 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 , 2022 - 2045 , Naturkork ,,,,, 2013 , Edelstahltank ,"Ausbau der Grundweine im Edelstahltank, traditionelle Flaschengärung"," Robert Parker, Wein Direktimport ",,,,,,,,1,
397,   Champagne Billecart Salmon   Champagne Extra Brut Vintage 2009 ," Champagne Billecart Salmon, Champagne BILLECART-SALMON : 40, rue Carnot, B.P. 8 - 51 160 MAREUIL-SUR-AŸ - FRANCE ", Frankreich , Champagne , Schaumwein weiß ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay "," Champagne AC, Premiumwein ", 12 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 ,, Naturkork ,,," Apéritif, Dessert, Fisch, Hummer ","Apéritif, Hummer, Fasan auf Champagnerkraut, Edelfisch in Beurre Blanc, fruchtige Desserts", 2009 ," Barriquefaß, traditionelle Flaschengärung ","Méthode Traditionelle, handgerüttelt",,,"Premièr & Grand Cru Lagen, Marnetal",,,,Kalk und Kreide,,1,
398,   Champagne Pol Roger   2013 Champagne Blanc de Blanc Vintage ," Champagne Pol Roger, Champagne Pol Roger, 1, Rue Winston Churchill 51200 Epernay France ", Frankreich , Champagne , Schaumwein weiß , Chardonnay ," Champagne AC, Premiumwein ", 12.5 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 , bis 2040 , Naturkork ,,,,, 2013 , Edelstahltank ,"Ausbau der Grundweine im Edelstahltank, traditionelle Flaschengärung",,,"Côte des Blancs Grand Cru Lagen in Oiry, Chouilly, Cramant, Avize, Oger",,,,,,1,
399,   Champagne Etienne Calsac   Champagne 'L'Echappée Belle' Extra Brut Magnum ," Champagne Etienne Calsac, EARL ETIENNE CALSAC 128 Allée Augustin LORITE 51190 AVIZE FRANCE ", Frankreich , Champagne , Schaumwein weiß , Chardonnay , Champagne AC , 12 ," extra herb (extra brut), 0 - 6 g Restzucker/Liter ", Enthält Sulfite , 8 - 10 , bis 2024 , Naturkork ,, 3.0 ,,," 2016, plus vins de reserve ", Edelstahltank ,,,,,,,,,,1,
400,   Champagne Etienne Calsac   2017 Champagne 'Clos des Maladries' Grand Cru Avize ," Champagne Etienne Calsac, EARL ETIENNE CALSAC 128 Allée Augustin LORITE 51190 AVIZE FRANCE ", Frankreich , Champagne , Schaumwein weiß , Chardonnay ," Champagne AC, Premiumwein ", 12 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 - 10 ,, Naturkork ,, 3.0 ,,, 2017 ," 30% Barrique, Edelstahltank ",,,,,,,,,,1,
401,   Champagne Etienne Calsac   Champagne 'Les Rocheforts' Premier Cru Extra Brut Magnum ," Champagne Etienne Calsac, EARL ETIENNE CALSAC 128 Allée Augustin LORITE 51190 AVIZE FRANCE ", Frankreich , Champagne , Schaumwein weiß , Chardonnay , Champagne AC , 12 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 - 10 , bis 2026 , Naturkork ,, 5.0 ,,," 2017, plus vins de reserve ", Edelstahltank ,,,,,,,,,,1,
402,   Champagne Billecart Salmon   Champagne Extra Brut Vintage 2008 Magnum ," Champagne Billecart Salmon, Champagne BILLECART-SALMON : 40, rue Carnot, B.P. 8 - 51 160 MAREUIL-SUR-AŸ - FRANCE ", Frankreich , Champagne , Schaumwein weiß ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay "," Champagne AC, Premiumwein ", 12 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 ,, Naturkork ,,," Apéritif, Dessert, Fisch, Hummer ","Apéritif, Hummer, Fasan auf Champagnerkraut, Edelfisch in Beurre Blanc, fruchtige Desserts", 2008 ," Barriquefaß, traditionelle Flaschengärung ","Méthode Traditionelle, handgerüttelt"," Falstaff, Robert Parker ",,"Premièr & Grand Cru Lagen, Marnetal",,,,Kalk und Kreide,,1,
403,   Champagne Billecart Salmon   2008 Cuvée Elisabeth Salmon Rosé ," Champagne Billecart Salmon, Champagne BILLECART-SALMON : 40, rue Carnot, B.P. 8 - 51 160 MAREUIL-SUR-AŸ - FRANCE ", Frankreich , Champagne , Schaumwein rosé ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay "," Champagne AC, Premiumwein ", 12.5 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 , 2033+ , Naturkork ,, 7.0 ," Apéritif, Bressehuhn, Dessert, Fisch, Flußkrebsen, Hummer, Kaisergranat ","Apéritif, Hummer, Fisch, fruchtige Desserts", 2008 ," Edelstahltank, Holzfaß, traditionelle Flaschengärung ","Méthode Traditionelle, handgerüttelt",,,"Premièr & Grand Cru Lagen, Marnetal",,,,Kalk und Kreide,,1,
404,   Champagne Louis Roederer   2012 Cuvée Cristal Brut Blanc ," Champagne Louis Roederer, Champagne Louis Roederer 21, boulevard Lundy, CS 40014 51722 Reims Cedex France ", Frankreich , Champagne , Schaumwein weiß ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay "," Champagne AC, Premiumwein ", 12.5 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 - 12 , 2023 - 2050 , Naturkork ,, 7.5 ,,, 2012 ,,, Robert Parker ,,Cru Lagen, etwa 30 Minuten ,,,,,1,
