,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
8615,0.11550955461458713,76_left,1596_right,NINO NEGRI Sassella,Italien,red,Nino Negri Sfursat Carlo Negri,Italien,red
2581,0.11529489898892333,18_left,5731_right,DOMAINE DE L'ARJOLLE Cabernet,Frankreich,red,Domaine de l'Horizon Rouge,Frankreich,red
23025,0.10766234026126854,260_left,1461_right,HAACK Scheurebe Alte Reben,Deutschland,white,Schneider Alte Reben Riesling,Deutschland,white
13979,0.10712496509648263,144_left,5377_right,LE TAPIE Blanc,Frankreich,white,Le Val Sauvignon Blanc,Frankreich,white
23595,0.10527211310061106,268_left,2065_right,ERZHERZOG JOHANN Sauvignon Blanc,Österreich,white,Sattlerhof Sauvignon Blanc,Österreich,white
20611,0.10251811117129553,219_left,1085_right,IHRINGER Grauburgunder,Deutschland,white,Schneider Grauburgunder,Deutschland,white
20755,0.10251811117129553,221_left,1085_right,SCHÖNLAUB Grauburgunder,Deutschland,white,Schneider Grauburgunder,Deutschland,white
20981,0.10251811117129553,228_left,1085_right,MESSMER Grauburgunder,Deutschland,white,Schneider Grauburgunder,Deutschland,white
7513,0.09044689900352486,65_left,77_right,LE BOCCE Chianti Classico,Italien,red,Banfi Chianti Classico,Italien,red
4484,0.08685828365434234,33_left,798_right,CHÂTEAU DE BARBE BLANCHE,Frankreich,red,Château de Sancerre Sancerre Blanc,Frankreich,white
8597,0.08639343920812938,75_left,193_right,PRUNOTTO Bansella,Italien,red,Prunotto Barolo,Italien,red
14034,0.08525666228469148,146_left,4744_right,DOMAINE PUGIBET Le Blanc,Frankreich,white,Domaine de l'Horizon Blanc,Frankreich,white
13607,0.083824312603047,138_left,2635_right,SURVIVOR Pinotage Reserve,Südafrika,red,Wildekrans Barrel Select Reserve Pinotage,Südafrika,red
16341,0.08318920506631791,173_left,798_right,CHÂTEAU DE NAVAILLES,Frankreich,white,Château de Sancerre Sancerre Blanc,Frankreich,white
526,0.08218256680984556,4_left,447_right,PAUL MAS Cabernet de Cabernet,Frankreich,red,Paul Mas Vignes de Nicole Cabernet Sauvignon - Merlot Pays d'Oc,Frankreich,red
15318,0.07765199698484235,160_left,798_right,CHÂTEAU BONNET Blanc,Frankreich,white,Château de Sancerre Sancerre Blanc,Frankreich,white
9977,0.0776115740695458,93_left,4695_right,ANDERGASSEN Lagrein,Italien,red,Tramin Lagrein,Italien,red
14491,0.07626092542694289,151_left,7561_right,LA CABANE DU GASCON Blanc,Frankreich,white,Domaine de Pellehaut L'Été Gascon Blanc,Frankreich,white
17327,0.0751386068309847,184_left,798_right,CHÂTEAU DE VILLEMAJOU Grand V. Blanc,Frankreich,white,Château de Sancerre Sancerre Blanc,Frankreich,white
