,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
1805,1.3538806079888106,12_left,2454_right,PAUL MAS VIGNES DE NICOLE Rouge,Frankreich,red,Paul Mas Vignes de Nicole Rouge,Frankreich,red
23359,1.1734160530329945,264_left,6509_right,WINZER KREMS Grüner Veltliner,Österreich,white,Winzer Krems Chremisa Edition Grüner Veltliner,Österreich,white
7568,1.0965149964081327,66_left,5370_right,LA LUNA E I FALÒ Barbera d'Asti,Italien,red,Vite Colte La Luna e i Falò Barbera d'Asti Superiore,Italien,red
15363,0.9892885363928176,161_left,8192_right,PAUL MAS Vignes de Nicole Blanc,Frankreich,white,Paul Mas Vignes de Nicole l'Assemblage Blanc,Frankreich,white
19041,0.9859724057987533,201_left,9038_right,"MONTE ZOVO Lugana ""Le Civaie""",Italien,white,Monte Zovo Lugana Le Civaie,Italien,white
23176,0.94135526322605,262_left,452_right,RAWSON'S RETREAT Chardonnay,Australien,white,Rawson's Retreat Sémillon - Chardonnay,Australien,white
12135,0.9207190959342776,121_left,4365_right,MONTES Alpha Cabernet Sauvignon,Chile,red,Montes Alpha Cabernet Sauvignon,Chile,red
13716,0.8958978855169061,141_left,7320_right,ZANTHO Zweigelt,Österreich,red,Zantho Zweigelt,Österreich,red
13610,0.8764637713079847,139_left,4196_right,BRAZIN Lodi Old Vine Zinfandel,USA,red,Brazin (B) Old Vine Zinfandel Lodi,Vereinigte Staaten,red
17606,0.7942862705430402,187_left,800_right,FEUDO ARANCIO Grillo,Italien,white,Feudo Arancio Grillo Sicilia,Italien,white
8728,0.767405051471926,79_left,1503_right,CARPINETO Chianti Classico Riserva,Italien,red,Carpineto Chianti Classico Riserva,Italien,red
6179,0.7650859316651158,54_left,3807_right,SAN NICOLAO Barbera d'Asti,Italien,red,Vite Colte San Nicolao Barbera d'Asti,Italien,red
12134,0.7488362067016789,120_left,3830_right,MONTES Alpha Syrah,Chile,red,Montes Alpha Syrah,Chile,red
11838,0.7268502594110551,117_left,4450_right,MONTES Cabernet Sauvignon Reserva,Chile,red,Montes Reserva Cabernet Sauvignon (Classic),Chile,red
20465,0.6988508178415029,216_left,1051_right,KARL PFAFFMANN Weißburgunder,Deutschland,white,Karl Pfaffmann Markus Pfaffmann Weissburgunder Trocken,Deutschland,white
13554,0.6521052889078831,135_left,6824_right,KAIKEN Ultra Cabernet Sauvignon,Argentinien,red,Kaiken Cabernet Sauvignon,Argentinien,red
13606,0.6516599297979967,137_left,3996_right,BEYERSKLOOF Synergy,Südafrika,red,Beyerskloof Synergy Cape Blend,Südafrika,red
20856,0.6509081331484198,225_left,2253_right,KLOSTER EBERBACH Riesling,Deutschland,white,Kloster Eberbach Riesling Trocken,Deutschland,white
18762,0.6423773679616183,198_left,5204_right,KURTATSCH Pinot Grigio,Italien,white,Cantina Kurtatsch Pinot Grigio,Italien,white
4282,0.6298833571490063,31_left,5448_right,CHÂTEAU LA TOUR DE BY Magnum,Frankreich,red,Château La Tour de By Château la Roque de By,Frankreich,red
8727,0.6193120795968667,78_left,5201_right,LE MORTELLE Botrosecco,Italien,red,Le Mortelle Botrosecco Maremma Toscana,Italien,red
16075,0.5652627728348345,167_left,7801_right,CHÂTEAU PAUL MAS Belluguette,Frankreich,white,Paul Mas Château Paul Mas Parcelle Belluguette Languedoc Blanc,Frankreich,white
9021,0.5651951264390124,83_left,4876_right,PAOLO MANZONE Barolo,Italien,red,Paolo Manzone Barolo Meriame,Italien,red
5311,0.562286051625525,41_left,5448_right,CHÂTEAU LA TOUR DE BY Heritage,Frankreich,red,Château La Tour de By Château la Roque de By,Frankreich,red
20800,0.5554395945456662,222_left,6056_right,WINTER Grauburgunder,Deutschland,white,Stefan Winter Grauburgunder,Deutschland,white
15129,0.554905125502938,158_left,10546_right,LE BLANC DE MONSIEUR HENRI,Frankreich,white,Monsieur Henri Le Rosé de Monsieur Henri Merlot,Frankreich,rosé
7995,0.5389031088450744,70_left,12330_right,VECCHIA TORRE Leverano Riserva,Italien,red,Vecchia Torre Leverano Rosato,Italien,rosé
20979,0.5279631713763616,227_left,3085_right,VILLA HUESGEN Riesling Kabinett,Deutschland,white,Villa Huesgen By the Glass Riesling,Deutschland,white
11537,0.5238120002960264,111_left,490_right,BERONIA Gran Reserva,Spanien,red,Beronia Rioja Gran Reserva,Spanien,red
16868,0.4994687457600801,179_left,424_right,JADOT Pouilly-Fuissé Petites Pierres,Frankreich,white,Louis Jadot Pouilly-Fuissé,Frankreich,white
19734,0.49714410070862036,208_left,2266_right,MONTES Sauvignon Blanc,Chile,white,Montes Reserva Sauvignon Blanc (Classic),Chile,white
20034,0.4823249395887104,211_left,5715_right,RUPPERTSBERGER Riesling,Deutschland,white,Fußer Ruppertsberger Riesling,Deutschland,white
22116,0.4634000842873448,242_left,6892_right,MARKUS MOLITOR Zeltinger Ortswein,Deutschland,white,Markus Molitor Zeltinger Sonnenuhr Riesling Kabinett,Deutschland,white
18667,0.4563771283422169,196_left,11977_right,LOREDAN GASPARINI Prosecco Frizzante,Italien,white,Loredan Gasparini Asolo Prosecco Superiore,Italien,sparkling
5086,0.45164909080312543,39_left,7836_right,CHÂTEAU LA COMMANDERIE,Frankreich,red,Château La Commanderie Saint-Estèphe,Frankreich,red
14890,0.44114119499413224,155_left,8860_right,LES FUMÉES BLANCHES Blanc,Frankreich,white,François Lurton Les Fumées Blanches Sauvignon Blanc Côtes de Gascogne,Frankreich,white
16870,0.4250384343530918,180_left,1159_right,JADOT Chassagne-Montrachet Baudines,Frankreich,white,Paul Pillot Chassagne-Montrachet,Frankreich,white
21820,0.4074001670365542,238_left,1461_right,WINTER Alte Reben Riesling,Deutschland,white,Schneider Alte Reben Riesling,Deutschland,white
20461,0.40064293713127436,215_left,7422_right,WINTER Riesling,Deutschland,white,Stefan Winter Riesling Trocken,Deutschland,white
20466,0.3818727950837806,217_left,2277_right,TABERNUS Grauer Burgunder,Deutschland,white,Korrell Grauer Burgunder,Deutschland,white
13435,0.38100307169191633,134_left,11007_right,BLEASDALE Bremerview Shiraz,Australien,red,Bleasdale Sparkling Shiraz,Australien,sparkling
12139,0.3791663819068013,122_left,3830_right,MONTES Alpha M,Chile,red,Montes Alpha Syrah,Chile,red
6160,0.37833868334513887,53_left,5013_right,SALICE SALENTINO,Italien,red,Epicuro Salice Salentino,Italien,red
14489,0.37822401697860647,150_left,5037_right,CÔTÉ MAS Sauvignon Blanc,Frankreich,white,Paul Mas Sauvignon Blanc,Frankreich,white
20847,0.3718384618949812,224_left,2277_right,SONNENHOF Grauer Burgunder,Deutschland,white,Korrell Grauer Burgunder,Deutschland,white
11126,0.35922149193231095,106_left,1631_right,BERONIA Reserva,Spanien,red,Beronia Rioja Reserva,Spanien,red
9348,0.3568658498079553,86_left,5797_right,LA PODERINA Brunello di Montalcino,Italien,red,La Gerla Brunello di Montalcino,Italien,red
18927,0.3551711501703868,200_left,10888_right,BOSCO DEL MERLO Sauvignon Blanc,Italien,white,Bosco del Merlo Brut Rosé,Italien,sparkling
23411,0.3488989972017484,266_left,1087_right,GÖTTWEIG Grüner Veltliner,Österreich,white,Meinklang Grüner Veltliner,Österreich,white
23361,0.3488989972017484,265_left,1087_right,ZIMMERMANN Grüner Veltliner,Österreich,white,Meinklang Grüner Veltliner,Österreich,white
23740,0.3456014391790096,270_left,7752_right,GÖTTWEIG Grüner Veltliner Reserve,Österreich,white,Steininger Kamptal Reserve Grüner Veltliner,Österreich,white
6180,0.3384801864559845,55_left,1813_right,RIPORTA Nero d'Avola,Italien,red,Cusumano Nero d'Avola,Italien,red
14296,0.3367138223200416,148_left,5377_right,CAZAL VIEL Sauvignon Blanc,Frankreich,white,Le Val Sauvignon Blanc,Frankreich,white
22367,0.33116585942083365,247_left,2315_right,BECKER Grauburgunder Tradition,Deutschland,white,Friedrich Becker Grauburgunder,Deutschland,white
18663,0.3307447781450411,195_left,9442_right,PRÀ Soave,Italien,white,Prà Otto Soave,Italien,white
22358,0.31802680889249024,246_left,6147_right,KÜNSTLER Riesling 1648,Deutschland,white,Künstler Riesling Trocken,Deutschland,white
9186,0.3179285569886447,85_left,9089_right,SAROTTO Barbaresco Riserva,Italien,red,Ceretto Barbaresco,Italien,red
5531,0.30881656688183906,44_left,625_right,JADOT Aloxe-Corton,Frankreich,red,Joseph Drouhin Aloxe-Corton,Frankreich,red
22356,0.2962078245640985,245_left,6372_right,GEIL Riesling Rosengarten,Deutschland,white,Weingut Geil Riesling Trocken,Deutschland,white
8388,0.29559460503459956,73_left,2117_right,TORCICODA Primitivo,Italien,red,Tormaresca Primitivo Salento Torcicoda,Italien,red
12420,0.29245932963219184,126_left,7634_right,BECKER Pinot Noir Tradition,Deutschland,red,Friedrich Becker Schweigen Pinot Noir,Deutschland,red
2578,0.2901977471653107,17_left,3719_right,CHÂTEAU CAZAL VIEL Vieilles Vignes,Frankreich,red,Château Fontarèche Vieilles Vignes Sélection,Frankreich,red
11839,0.28715389316583123,118_left,10104_right,MONTES Angel's Selection,Chile,red,Montes Sparkling Angel Brut,Chile,sparkling
3636,0.2844221123132478,25_left,5731_right,DOMAINE DE VILLEMAJOU Rouge,Frankreich,red,Domaine de l'Horizon Rouge,Frankreich,red
5728,0.282084857162136,48_left,5901_right,LA CARRAIA Sangiovese,Italien,red,La Mozza Sangiovese,Italien,red
20864,0.27896003104628486,226_left,6772_right,GRANS-FASSIAN Fuder 12 Riesling,Deutschland,white,Grans-Fassian Mineralschiefer Riesling - Trocken,Deutschland,white
16292,0.2761438529515736,169_left,798_right,CHÂTEAU DE ROCHEMORIN Blanc,Frankreich,white,Château de Sancerre Sancerre Blanc,Frankreich,white
4122,0.2710006375305431,29_left,3679_right,CHÂTEAU L'HOSPITALET,Frankreich,red,Château l'Hospitalet La Clape Grand Vin Rouge,Frankreich,red
22961,0.2697135898818939,256_left,6196_right,TABERNUS Riesling-Gewürztraminer,Deutschland,white,Knipser Gewürztraminer - Riesling Trocken,Deutschland,white
