wine_id,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol
15143,Montebruna Barbera d'Asti,Braida,Italien,Barbera d'Asti,2018,red,14.5,15.0
1200229,Casasole Orvieto Classico Amabile,Santa Cristina,Italien,Orvieto,2018,white,7.99,10.5
77813,Rioja Reserva,Izadi,Spanien,Rioja,2016,red,14.5,14.0
3103298,Alexander (The Great),Casa Rojo,Spanien,Ribera del Duero,2018,red,32.9,14.0
1892900,Estate Viognier (Varietales),Bodega Garzón,Uruguay,Maldonado,2018,white,18.19,12.5
1124242,Côtes-du-Rhône Réserve Rouge,Famille Perrin,Frankreich,Côtes-du-Rhône,2018,red,10.73,13.5
1735215,Pouilly-Fumé Terres Blanches,Pascal Jolivet,Frankreich,Pouilly-Fumé,2019,white,35.55,13.0
1654,Tenuta Tignanello 'Marchese Antinori' Chianti Classico Riserva,Antinori,Italien,Chianti Classico,2016,red,49.97,14.0
1997998,Blanc,Abadal,Spanien,Pla de Bages,2018,white,7.9,12.5
1648179,Vinha das Romãs Tinto,Monte da Ravasqueira,Portugal,Alentejano,2017,red,20.7,14.0
99328,5 Finques (Fincas) Reserva,Castillo Perelada,Spanien,Empordà,2017,red,13.9,14.0
1516813,Crianza,Bodegas Vilano,Spanien,Ribera del Duero,2018,red,9.7,14.0
1230434,Touche-Mitaine Montlouis-sur-Loire,Le Rocher des Violettes,Frankreich,Montlouis-sur-Loire,2019,white,16.5,0.0
1302897,Pinot Grigio,Alois Lageder,Italien,Südtirol - Alto Adige,2018,white,12.0,13.0
7994104,Riesling Roter Hang Trocken,Gröhl,Deutschland,Nierstein,2019,white,9.95,0.0
22909,Chianti Classico,Banfi,Italien,Chianti Classico,2019,red,11.9,13.5
1182136,Finca Monasterio Rioja,Baron de Ley,Spanien,Rioja,2016,red,22.11,13.5
12378,Lugana San Benedetto,Zenato,Italien,Lugana,2020,white,9.7,13.0
1134272,Sirmian Pinot Bianco,Nals Margreid,Italien,Südtirol - Alto Adige,2018,white,18.45,14.0
1709031,Fantini Primitivo Puglia,Farnese,Italien,Puglia,2020,red,5.8999999999999995,14.0
1143960,Villa Antinori Chianti Classico Riserva,Antinori,Italien,Chianti Classico,2018,red,14.5,14.0
1397095,Friulano Collio,Cormòns,Italien,Collio,2020,white,9.5,12.5
3953066,Rossofuoco Barbera d'Asti,Vite Colte,Italien,Barbera d'Asti,2018,red,7.25,14.0
1729938,Music Room,Flagstone,Südafrika,Western Cape,2017,red,22.19,15.0
5501045,Grauburgunder Trocken,III Freunde,Deutschland,Rheinhessen,2020,white,9.9,13.0
5101,Aglianico Rubrato,Feudi di San Gregorio,Italien,Irpinia,2019,red,8.9,13.5
2380421,Fior di Lago (Fiore Bianco),Bulgarini,Italien,Lombardia,2020,white,7.9,12.5
1953975,Portrait Shiraz,Peter Lehmann,Australien,Barossa,2018,red,12.95,14.5
1263840,Malbec,Crios,Argentinien,Agrelo,2019,red,9.25,14.3
2474716,Ribet Red Cabernet Sauvignon - Merlot,Arrogant Frog,Frankreich,Pays d'Oc,2019,red,6.5,13.5
7773,Côtes-du-Rhône Rouge,E. Guigal,Frankreich,Côtes-du-Rhône,2015,red,22.5,14.0
7749,Pinot Grigio delle Venezie,Bolla,Italien,delle Venezie,2020,white,6.49,12.0
