,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_region_left,wine_type_left,full_name_right,wine_country_right,wine_region_right,wine_type_right
6388,-0.31670641136392746,36_left,1158_right,Château Arbo Bordeaux A.O.C. Montagne-Saint-Émilion,Frankreich,Bordeaux,red,Château Malbec Bordeaux,Frankreich,Bordeaux,red
8110,-0.3208119559345569,45_left,6687_right,Domaine Girard Pinot Noir I.G.P.,Frankreich,Languedoc-Roussillon,red,Domaine Faiveley Pinot Noir Bourgogne,Frankreich,Bourgogne,red
9536,-0.3463712771188718,54_left,3901_right,Bagordi Tinto Cosecha 6 Meses Barrica D.O.C. Rioja,Spanien,Rioja,red,Rioja Vega Tinto,Spanien,Rioja,red
18639,-0.3558613712262538,104_left,1948_right,Bagordi Blanco D.O.C. Rioja,,,,Marqués de Cáceres Rioja Blanco,Spanien,Rioja,white
3538,-0.3613679238097054,20_left,3141_right,"Domaine Grand Veneur Châteauneuf-du-Pape A.C. ""Les Origines"" 1,5l Magnum",,,,Alain Jaume Domaine Grand Veneur Châteauneuf-du-Pape 'Le Miocène',Frankreich,Châteauneuf-du-Pape,red
22775,-0.36161644743669963,127_left,3505_right,Cantina Trerè Giòja Romagna Pagadebit Frizzante D.O.C.,Italien,Emilia-Romagna,white,Enio Ottaviani Strati Romagna Pagadebit,Italien,Pagadebit di Romagna,white
15737,-0.36161644743669963,87_left,3505_right,Cantina Trerè Giòja Romagna Pagadebit Frizzante D.O.C.,Italien,Emilia-Romagna,white,Enio Ottaviani Strati Romagna Pagadebit,Italien,Pagadebit di Romagna,white
5685,-0.3635478094826191,33_left,2235_right,Rignana Chianti Classico D.O.C.G. Gallo Nero Riserva,Italien,Toskana,red,I Sodi Chianti Classico Riserva,Italien,Chianti Classico,red
20767,-0.3667133774885576,114_left,10132_right,Cascina Castlèt Rosè Vino Rosato,Italien,Piemont,rosé,Pescaja Le Flëry Rosato,Italien,Piemont,rosé
8752,-0.36996921247344094,50_left,2188_right,Cantina di Venosa Matematico Merlot Vino Rosso Vulcanico,Italien,Basilikata,red,Cantina di Negrar Appassimento Rosso,Italien,Veneto,red
628,-0.3780199730161879,3_left,1168_right,Cascina Castlèt Litina Barbera d'Asti D.O.C.G. Superiore,Italien,Piemont,red,Ricossa Barbera d'Asti Superiore,Italien,Barbera d'Asti,red
424,-0.3780199730161879,2_left,1168_right,Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore,Italien,Piemont,red,Ricossa Barbera d'Asti Superiore,Italien,Barbera d'Asti,red
22108,-0.3867349195729526,121_left,5647_right,Weingut Hain Cuvée Rosé Q.b.A.,Deutschland,Mosel,rosé,Weingut Hain Piesporter Riesling Trocken,Deutschland,Piesport,white
2444,-0.39651113934773435,15_left,347_right,"Rejadorada Tinto Roble D.O. Toro 0,375l",Spanien,Toro,red,Pintia Toro,Spanien,Toro,red
16080,-0.3995392272328818,89_left,12701_right,Gaggioli Bagazzino Bianco Pignoletto D.O.C.,Italien,Emilia-Romagna,white,Ceci To You (a te) Bolle di Lambrusco Rosso,Italien,Emilia-Romagna,sparkling
21820,-0.42096162546300187,120_left,11691_right,Cantina di Venosa Verbo Rosato I.G.P. Basilicata,Italien,Basilikata,rosé,Vigneti del Vulture Basilicata Pipoli Rosato,Italien,Basilicata,rosé
13044,-0.4283999341533878,70_left,347_right,"Rejadorada Tinto Roble D.O. Toro Magnum (1,5l)",Spanien,Toro,red,Pintia Toro,Spanien,Toro,red
3980,-0.431599279614182,25_left,5519_right,Le Lame Sorripa Chianti Classico D.O.C.G. Gallo Nero Gran Selezione,Italien,Toskana,red,Fontodi Vigna del Sorbo Gran Selezione Chianti Classico,Italien,Chianti Classico,red
18881,-0.43410092350943136,105_left,10623_right,Adriana Ochoa 8A Uva Doble Blanco D.O. Navarra,Spanien,Navarra,white,Bodegas Ochoa 8A Moscato de Ochoa de Aguja Frizzante,Spanien,Navarra,sparkling
10685,-0.4423150374993375,59_left,297_right,Château de Lauga Bordeaux A.O.C. Haut-Médoc Cru Artisan,Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
10914,-0.4423150374993375,60_left,297_right,Château de Lauga Bordeaux A.O.C. Haut-Médoc Cru Artisan,Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
10447,-0.4435830892396129,58_left,297_right,"Château de Lauga Bordeaux A.O.C. Haut-Médoc Cru Artisan 0,375l",Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
12605,-0.4459252120430091,68_left,8801_right,"Ochoa Tempranillo Crianza D.O. Navarra 1,5l Magnum",Spanien,Navarra,red,Baigorri Crianza  Tempranillo,Spanien,Rioja,red
