,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_region_left,wine_type_left,full_name_right,wine_country_right,wine_region_right,wine_type_right
15946,0.2269431350176337,88_left,5615_right,Cantina Trerè Rè Famoso Bianco I.G.T. Ravenna,Italien,Emilia-Romagna,white,Trere Re Famoso Ravenna Bianco,Italien,Ravenna,white
1900,0.17781152042234277,10_left,6636_right,Teanum ÒTRE Nero di Troia,Italien,Apulien,red,Teanum Òtre Primitivo,Italien,Puglia,red
23665,0.1748976614382372,136_left,12100_right,Weingut Hain Riesling Sekt Brut,Deutschland,Mosel,sparkling,Peter Lauer Riesling Sekt Brut Réserve,Deutschland,Mosel,sparkling
23642,0.16000571555925192,135_left,10273_right,Antech Blanquette de Limoux Brut A.C. Cuvée Tradition,Frankreich,,sparkling,Antech Grande Cuvée Crémant de Limoux Brut,Frankreich,Crémant de Limoux,sparkling
12106,0.15979691268869117,65_left,4770_right,Bagordi Garnacha Crianza D.O.C. Rioja,Spanien,Rioja,red,Castillo Clavijo Rioja Crianza Tempranillo - Garnacha,Spanien,Rioja,red
9484,0.08737603928268799,53_left,382_right,Bagordi Crianza D.O.C. Rioja,Spanien,Rioja,red,Viña Real Rioja Crianza,Spanien,Rioja,red
17073,0.07626542825126778,95_left,1846_right,Weingut Hain Weißburgunder Q.b.A. trocken,Deutschland,Mosel,white,Weingut Metzger Weissburgunder Trocken,Deutschland,Pfalz,white
12233,0.05855840529405313,66_left,4738_right,Bagordi Graciano Crianza D.O.C. Rioja,Spanien,Rioja,red,Marqués de Cáceres Rioja Crianza,Spanien,Rioja,red
2039,0.05483237551794221,11_left,7605_right,Teanum VENTO Rosso Nero di Troia & Primitivo,Italien,Apulien,red,Boccantino Nero di Troia - Primitivo,Italien,Puglia,red
1077,0.03301037052871121,5_left,8723_right,Château Godard Bellevue Francs Côtes de Bordeaux A.C. Rouge,Frankreich,Bordeaux,red,Château d'Haurets Bordeaux Rouge,Frankreich,Bordeaux,red
13511,0.03231066633956367,72_left,277_right,Kassner-Simon Weißer Burgunder Q.b.A. trocken,Deutschland,Pfalz,white,Wittmann Weisser Burgunder Trocken,Deutschland,Rheinhessen,white
16767,0.028988429869381195,93_left,8618_right,Hermanos del Villar Azoe Verdejo D.O. Rueda,Spanien,Rueda,white,Hnos. del Villar Oro de Castilla Verdejo,Spanien,Rueda,white
