id,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_seller
656,Weingut Joh. Jos. Prüm   2019 Riesling Auslese Wehlener Sonnenuhr GOLDKAPSEL 375 ml, Deutschland ,Mosel,2019,white,0,8,1
657,Weingut Joh. Jos. Prüm   2019 Riesling Kabinett Wehlener Sonnenuhr, Deutschland ,Mosel,2019,white,0,9.5,1
658,Weingut Joh. Jos. Prüm   2019 Riesling Spätlese Zeltinger Sonnenuhr, Deutschland ,Mosel,2019,white,0,8.5,1
659,Weingut Joh. Jos. Prüm   2019 Riesling Spätlese Graacher Himmelreich, Deutschland ,Mosel,2019,white,0,8.5,1
660,Weingut Joh. Jos. Prüm   2019 Riesling Spätlese Wehlener Sonnenuhr, Deutschland ,Mosel,2019,white,0,8.5,1
661,Weingut Joh. Jos. Prüm   2019 Riesling Kabinett Bernkasteler Badstube, Deutschland ,Mosel,2019,white,0,9.5,1
662,Domaine Hudelot-Noëllat   2018 Meursault 'Clos des Ecoles', Frankreich ,Bourgogne,2018,white,0,13,1
663,Weingut von Winning   2019 Weisser Burgunder II trocken, Deutschland ,Pfalz,2019,white,0,12.5,1
664,Fèlsina Società Agricola   2018 I Sistri Bianco Toscana, Italien ,Toscana,2018,white,0,13.5,1
665,Domaine Moreau Naudet   2018 Chablis Grand Cru 'Valmur', Frankreich ,Bourgogne,2018,white,0,12.5,1
666,Domaine Moreau Naudet   2018 Chablis 1er Cru 'Vaillons', Frankreich ,Bourgogne,2018,white,0,13,1
667,Domaine Moreau Naudet   2018 Chablis Premier Cru 'Montée de Tonnerre', Frankreich ,Bourgogne,2018,white,0,13.5,1
668,Weingut Oliver Zeter   2017 Viognier trocken 'Zafrán', Deutschland ,Pfalz,2017,white,0,14,1
669,Weingut Emmerich Knoll   2019 Grüner Veltliner Smaragd „Ried Schütt“, Österreich ,Wachau,2019,white,0,13.5,1
670,"Weingut Battenfeld-Spanier, Bioweingut   2019 Riesling Großes Gewächs Zellerweg Am Schwarzen Herrgott", Deutschland ,Rheinhessen,2019,white,0,13,1
671,"Weingut Emmerich Knoll   2019 Chardonnay Smaragd ""Loibner""", Österreich ,Wachau,2019,white,0,13.5,1
672,Weingut Emmerich Knoll   2019 Grüner Veltliner Smaragd „Ried Loibenberg“, Österreich ,Wachau,2019,white,0,13.5,1
673,"Weingut Kühling-Gillot, Bioweingut   2019 Riesling Großes Gewächs Hipping", Deutschland ,Rheinhessen,2019,white,0,13,1
674,Weingut Emmerich Knoll   2017 Riesling Smaragd „Ried Schütt“ Doppelmagnum, Österreich ,Wachau,2017,white,0,13.5,1
675,Weingut Weedenborn   2019 Grauburgunder trocken '232 ÜBER NULL', Deutschland ,Rheinhessen,2019,white,0,12.5,1
676,"Weingut Schäfer-Fröhlich   2019 Riesling trocken ""Bockenauer Schiefergestein""", Deutschland ,Nahe,2019,white,0,13,1
677,Weingut Schäfer-Fröhlich   2019 Riesling Spätlese Goldkapsel FELSENECK, Deutschland ,Nahe,2019,white,0,8,1
678,Weingut Schäfer-Fröhlich   2019 Riesling Spätlese FELSENECK, Deutschland ,Nahe,2019,white,0,8,1
679,Weingut Schäfer-Fröhlich   2019 Weisser Burgunder 'R' trocken, Deutschland ,Nahe,2019,white,0,13.5,1
680,Weingut Schäfer-Fröhlich   2019 Riesling trocken, Deutschland ,Nahe,2019,white,0,12,1
681,Weingut Schäfer-Fröhlich   2019 Weisser Burgunder trocken, Deutschland ,Nahe,2019,white,0,12.5,1
682,Weingut Knebel   2019 Riesling Großes Gewächs 'Röttgen', Deutschland ,Mosel,2019,white,0,13,1
683,Granja de Remelluri   2017 Rioja Blanco, Spanien ,Rioja,2017,white,0,14.5,1
684,Schlossgut Diel   2020 Cuvée Diel de Diel, Deutschland ,Nahe,2020,white,0,12.5,1
685,Weingut Philipp Kuhn   2019 Riesling Großes Gewächs Steinbuckel, Deutschland ,Rheinhessen,2019,white,0,13,1
686,Weingut Schloss Lieser   2019 SL Riesling trocken 1 Liter, Deutschland ,Mosel,2019,white,0,12.5,1
