,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_thumb,wine_url,wine_seller
89,Gaggioli Bagazzino Bianco Pignoletto D.O.C.,Italien,Emilia-Romagna,2020,white,8.2,https://www.divino.de/media/image/thumbnail/Gaggioli_Pignoletto_Bianco_150x240.png,https://www.divino.de/wein/weisswein/gaggioli-bagazzino-bianco-pignoletto.doc,2
90,Otero Finca Valleoscuro Blanco D.O.P. Valles de Benavente,Spanien,Valles de Benavente,2020,white,6.2,https://www.divino.de/media/image/thumbnail/Otero_VO_Blanco_150x240.png,https://www.divino.de/wein/otero-valleoscuro-blanco-valles-de-benavente,2
91,Hermanos del Villar Oro de Castilla Sauvignon Blanc D.O. Rueda,Spanien,Rueda,2020,white,8.2,https://www.divino.de/media/image/thumbnail/HdV_Sauvignon_2014_2_150x240.png,https://www.divino.de/wein/hermanos-del-villar-oro-de-castilla-sauvignon-blanc-rueda,2
92,Hermanos del Villar Oro de Castilla Verdejo D.O. Rueda,Spanien,Rueda,2020,white,7.99,https://www.divino.de/media/image/thumbnail/HdV_Verdejo_2014_2_150x240.png,https://www.divino.de/wein/hermanos-del-villar-oro-de-castilla-verdejo-rueda,2
93,Hermanos del Villar Azoe Verdejo D.O. Rueda,Spanien,Rueda,2020,white,6.2,https://www.divino.de/media/image/thumbnail/HdV_Azoe_2015_2_150x240.png,https://www.divino.de/wein/weisswein/hermanos-del-villar-azoe-verdejo-rueda,2
94,Teanum ÒTRE Falanghina I.G.T. Puglia,Italien,Apulien,2020,white,9.2,https://www.divino.de/media/image/thumbnail/Teanum_Otre_Falanghina_1500_150x240.png,https://www.divino.de/wein/teanum-otre-falanghina-puglia,2
95,Weingut Hain Weißburgunder Q.b.A. trocken,Deutschland,Mosel,2020.0,white,8.5,https://www.divino.de/media/image/thumbnail/2014_Hain_Weissburgunder_150x240.png,https://www.divino.de/wein/weisswein/weingut-hain-weissburgunder-trocken,2
96,Domaine Girard Chardonnay Classique I.G.P.,Frankreich,Languedoc-Roussillon,2019.0,white,8.2,https://www.divino.de/media/image/thumbnail/Girard_Chardonnay_neu_150x240.png,https://www.divino.de/wein/domaine-girard-chardonnay-classique-igp,2
97,Weingut Hain Piesporter Riesling Q.b.A. trocken,Deutschland,Mosel,2019.0,white,8.99,https://www.divino.de/media/image/thumbnail/2014_Hain_RIesling_trocken_150x240.png,https://www.divino.de/wein/weisswein/2020/weingut-hain-piesporter-riesling-trocken,2
98,Weingut Hain Spätburgunder Blanc de Noir Q.b.A. trocken,Deutschland,Mosel,2019.0,rosé,8.99,https://www.divino.de/media/image/thumbnail/2014_Hain_BlancDeNoir_150x240.png,https://www.divino.de/wein/weisswein/weingut-hain-spaetburgunder-blanc-de-noir-trocken,2
