,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_thumb,wine_url,wine_seller
485,Gelber Muskateller 'Ried Maulavern',Weingut Prechtl, Österreich ,Weinviertel DAC, 2020 ,white,8.9,12.5,https://www.wein-direktimport.de/media/image/f1/70/ea/Maulavern-Muskateller_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/weinviertel/weingut-prechtl/4070/2020-gelber-muskateller-ried-maulavern?c=559,1
486,Grüner Veltliner trocken 'Classic',Weingut Prechtl, Österreich ,Weinviertel DAC, 2020 ,white,7.9,12.5,https://www.wein-direktimport.de/media/image/70/32/89/weinviertel_dac_classik_kopie_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/weinviertel/weingut-prechtl/4066/2020-gruener-veltliner-trocken-classic?c=559,1
487,Grüner Veltliner trocken 'Ried Längen',Weingut Prechtl, Österreich ,Weinviertel DAC, 2020 ,white,9.95,13.0,https://www.wein-direktimport.de/media/image/d6/95/ab/weinviertel_dac_ried_laengen_kopie_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/weinviertel/weingut-prechtl/4067/2020-gruener-veltliner-trocken-ried-laengen?c=559,1
488,Grüner Veltliner trocken 'Alte Reben',Weingut Prechtl, Österreich ,Weinviertel DAC, 2020 ,white,9.95,13.0,https://www.wein-direktimport.de/media/image/0d/8c/56/weinviertel_dac_alte_reben_kopie_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/weinviertel/weingut-prechtl/4068/2020-gruener-veltliner-trocken-alte-reben?c=559,1
489,Grüner Veltliner trocken 'Ried Altenberg',Weingut Prechtl, Österreich ,Weinviertel DAC, 2020 ,white,10.9,13.0,https://www.wein-direktimport.de/media/image/39/31/7a/weinviertel_dac_ried_altenberg_kopie_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/weinviertel/weingut-prechtl/4069/2020-gruener-veltliner-trocken-ried-altenberg?c=559,1
490,Weissburgunder trocken 'Eintausender',Weingut Dreissigacker, Deutschland ,Rheinhessen, 2019 ,white,9.5,12.5,https://www.wein-direktimport.de/media/image/b9/95/82/Liter-WB-Eintausend-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-dreissigacker/4063/2020-weissburgunder-trocken-eintausender?c=559,1
491,Grauburgunder trocken,Weingut Dreissigacker, Deutschland ,Rheinhessen,2020,white,11.7,12.5,https://www.wein-direktimport.de/media/image/87/f9/44/GB-Vorne-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-dreissigacker/4062/2020-grauburgunder-trocken?c=559,1
492,Chardonnay trocken -B-,Weingut Metzger, Deutschland ,Pfalz, 2020 ,white,7.95,12.5,https://www.wein-direktimport.de/media/image/34/31/41/Chardonnay_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/uli-metzger/4059/2020-chardonnay-trocken-b?c=559,1
493,Châteauneuf-du-Pape Blanc,Le Vieux Donjon, Frankreich ,Rhône, 2020 ,white,49.95,14.0,https://www.wein-direktimport.de/media/image/4b/cf/53/2019-CNP-Blanc-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/suedliche-rhone/domaine-le-vieux-donjon/3956/2020-chateauneuf-du-pape-blanc?c=559,1
494,Grauer Burgunder trocken VDP.Gutswein,Ökonomierat Rebholz, Deutschland ,Pfalz, 2020 ,white,12.5,13.5,https://www.wein-direktimport.de/media/image/b7/29/20/2020-Grauburgunder-trocken-Front-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4022/2020-grauer-burgunder-trocken-vdp.gutswein?c=559,1
